Address 1,Address 2,Address 3,Postcode,Permitted Occupants,Licence Issue Date,Licence Expiry Date,Licence Number,latitude,longitude,geocoded_address,marker-symbol,marker-color
,138,Crookesmoor Road,S6 3FS,6,07-Oct-21,30-Jun-26,5491,53.3860655,-1.4929747,"138 Crookesmoor Rd, Sheffield S6 3FS, UK",home,#16837A
,140,Crookesmoor Road,S6 3FS,7,08-Apr-20,15-Mar-25,4850,53.38606129999999,-1.4930501,"140 Crookesmoor Rd, Sheffield S6, UK",home,#1D9A6C
,144,Crookesmoor Road,S6 3FS,10,21-Apr-22,28-Mar-27,5740,53.3859849,-1.4931169,"144 Crookesmoor Rd, Sheffield S6 3FS, UK",home,#ADDAA1
,196,Crookesmoor Road,S10 1BE,5,07-Dec-23,31-Oct-28,6288,53.3851982,-1.4947964,"196 Crookesmoor Rd, Sheffield S10 1EH, UK",home,#0F596B
,219,Crookesmoor Road,S6 3FQ,6,06-Dec-20,01-Feb-25,4970,53.3863942,-1.4916862,"219 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#16837A
,220,Crookesmoor Road,S10 1BE,6,05-Apr-22,06-Sep-27,6167,53.3849708,-1.4950602,"220 Crookesmoor Rd, Norton, Sheffield S10 1EH, UK",home,#16837A
,222,Crookesmoor Road,S10 1BE,6,17-Nov-22,13-Mar-27,6031,53.3849671,-1.4951178,"222 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#16837A
,224,Crookesmoor Road,S10 1BE,5,14-Feb-24,02-Dec-28,6320,53.384945,-1.495278,"224 Crookesmoor Rd, Sheffield S10 1EH, UK",home,#0F596B
,225,Crookesmoor Road,S6 3FQ,7,29-Apr-21,31-Jan-25,5221,53.3863335,-1.491927,"225 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#1D9A6C
,227,Crookesmoor Road,S6 3FQ,6,25-Mar-21,13-Jan-26,5148,53.38626470000001,-1.491931,"227 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#16837A
,233,Crookesmoor Road,S6 3FQ,7,24-May-22,09-Aug-26,5775,53.3862339,-1.4921735,"233 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#1D9A6C
,236,Crookesmoor Road,S10 1BE,7,28-Feb-23,13-Apr-25,6130,53.3848028,-1.4954993,"236 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#1D9A6C
,237,Crookesmoor Road,S6 3FQ,6,21-Jul-21,03-Mar-26,5397,53.3861035,-1.4922245,"237 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#16837A
,240,Crookesmoor Road,S10 1BE,6,27-Aug-20,26-Aug-25,6128,53.3847394,-1.4956433,"240 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#16837A
,244,Crookesmoor Road,S10 1BE,6,02-Mar-21,29-May-25,5084,53.3847173,-1.4956391,"244 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#16837A
,252,Crookesmoor Road,S10 1BE,5,28-Oct-19,17-Mar-25,4518,53.38470330000001,-1.4960362,"252 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#0F596B
,253,Crookesmoor Road,S6 3FQ,6,24-Aug-22,22-May-27,5920,53.3858768,-1.4927245,"253 Crookesmoor Rd, Sheffield S6 3FQ, UK",home,#16837A
,280,Crookesmoor Road,S10 1BE,6,15-Nov-21,30-Jul-25,5545,53.3843222,-1.4963822,"280 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#16837A
,282,Crookesmoor Road,S10 1BE,5,24-Aug-22,09-Jan-27,5921,53.3843056,-1.4968109,"282 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#0F596B
,286,Crookesmoor Road,S10 1BE,5,27-Apr-21,15-Feb-25,5206,53.3843348,-1.4969148,"286 Crookesmoor Rd, Sheffield S10 1BE, UK",home,#0F596B
,327,Crookesmoor Road,S10 1BD,7,07-Feb-21,03-Dec-25,4974,53.3850092,-1.4944412,"327 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,335,Crookesmoor Road,S10 1BD,7,18-Feb-21,09-Nov-25,5043,53.3848351,-1.4948471,"335 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,339,Crookesmoor Road,S10 1BD,9,09-Feb-21,09-Oct-25,5008,53.3847768,-1.4948985,"339 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#74C67A
,346,Crookesmoor Road,S10 1BH,7,02-Feb-21,13-Nov-25,4991,53.3834066,-1.4980158,"346 Crookesmoor Rd, Sheffield S10 1BH, UK",home,#1D9A6C
,349,Crookesmoor Road,S10 1BD,7,15-Jun-21,02-Aug-25,5351,53.3845919,-1.4952568,"349 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,350,Crookesmoor Road,S10 1BH,9,24-Feb-22,02-May-26,5715,53.3833748,-1.4981234,"350 Crookesmoor Rd, Sheffield S10 1BH, UK",home,#74C67A
,351,Crookesmoor Road,S10 1BD,8,02-Nov-20,29-Mar-25,4895,53.3845699,-1.4953313,"351 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#48B16D
,353,Crookesmoor Road,S10 1BD,7,15-Mar-23,05-Oct-25,6144,53.3845271,-1.4953793,"353 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,355,Crookesmoor Road,S10 1BD,8,05-Jul-22,02-Apr-27,5853,53.3844834,-1.4955033,"355 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#48B16D
,358,Crookesmoor Road,S10 1BH,7,04-Oct-21,12-Nov-25,5481,53.38316469999999,-1.4983898,"358 Crookesmoor Rd, Sheffield S10 1BH, UK",home,#1D9A6C
,360,Crookesmoor Road,S10 1BH,7,05-May-21,07-Jun-25,5242,53.382886,-1.4984965,"360 Crookesmoor Rd, Sheffield S10 1BH, UK",home,#1D9A6C
,361,Crookesmoor Road,S10 1BD,9,09-Sep-22,12-Mar-26,5945,53.3844406,-1.4955513,"361 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#74C67A
,381,Crookesmoor Road,S10 1BD,7,07-May-22,06-May-27,6170,53.3840909,-1.4962741,"381 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,389,Crookesmoor Road,S10 1BD,6,04-Nov-22,07-Oct-27,6068,53.3839335,-1.4965969,"389 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#16837A
,449,Crookesmoor Road,S10 1BD,10,10-Mar-21,05-Oct-25,5101,53.38396669999999,-1.4967424,"449 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#ADDAA1
,453,Crookesmoor Road,S10 1BD,7,09-Feb-21,05-Apr-25,5013,53.3838844,-1.4969146,"453 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,455,Crookesmoor Road,S10 1BD,7,02-Dec-20,28-Mar-25,4924,53.3838082,-1.4969445,"Front Attic, 455 Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,473,Crookesmoor Road,S10 1BG,6,27-Sep-22,24-Sep-26,5954,53.3832458,-1.4977156,"473 Crookesmoor Rd, Sheffield S10 1BG, UK",home,#16837A
,477,Crookesmoor Road,S10 1BG,6,19-Aug-21,07-Mar-26,5440,53.3831679,-1.4978703,"477 Crookesmoor Rd, Sheffield S10 1BG, UK",home,#16837A
,479,Crookesmoor Road,S10 1BG,6,28-Jul-21,07-Mar-25,5403,53.3831174,-1.49786,"479 Crookesmoor Rd, Sheffield S10 1BG, UK",home,#16837A
,521,Crookesmoor Road,S10 1BJ,10,02-Aug-21,27-Jun-26,5410,53.382498,-1.4984281,"521 Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#ADDAA1
,529,Crookesmoor Road,S10 1BJ,6,09-Aug-22,01-Nov-26,5901,53.3822443,-1.498702,"529 Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#16837A
,553,Crookesmoor Road,S10 1BJ,8,17-Aug-21,03-Mar-26,5433,53.3816152,-1.4993572,"553 Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#48B16D
,555,Crookesmoor Road,S10 1BJ,8,17-Feb-23,20-Jun-25,6121,53.3815404,-1.4994414,"555 Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#48B16D
,557,Crookesmoor Road,S10 1BJ,7,29-Jul-22,02-Apr-27,5890,53.3814605,-1.4995123,"557 Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#1D9A6C
,180a,Crookesmoor Road,S6 3FS,7,06-Apr-21,19-Oct-25,5170,53.3854581,-1.4941601,"180 Crookesmoor Rd, Sheffield S6 3FS, UK",home,#1D9A6C
,337a,Crookesmoor Road,S10 1BD,6,30-May-22,10-May-25,5799,53.3848018,-1.4947994,"337a Crookesmoor Rd, Sheffield S10 1BD, UK",home,#16837A
,383b,Crookesmoor Road,S10 1BD,7,19-Jul-22,14-Apr-27,5732,53.3840809,-1.49638,"383B Crookesmoor Rd, Sheffield S10 1BD, UK",home,#1D9A6C
,551a,Crookesmoor Road,S10 1BJ,8,03-Mar-21,07-Nov-25,5087,53.3817027,-1.4992687,"551A Crookesmoor Rd, Sheffield S10 1BJ, UK",home,#48B16D
,138,Cross Lane,S10 1WP,5,28-Jul-22,23-May-25,5887,53.3832567,-1.5115412,"138 Cross Ln, Sheffield S10 1WP, UK",home,#0F596B
,140,Cross Lane,S10 1WP,6,15-Nov-22,06-Aug-27,6014,53.3833105,-1.5115378,"140 Cross Ln, Sheffield S10 1WP, UK",home,#16837A
,20,Cross Myrtle Road,S2 3EL,8,29-Mar-21,21-Feb-25,5159,53.3610214,-1.4643732,"20 Cross Myrtle Rd, Heeley, Sheffield S2 3EL, UK",home,#48B16D
,8a,Cross Street,S13 7JR,5,20-Apr-21,26-Sep-25,5200,53.358935,-1.3703184,"8A Cross St, Woodhouse, Sheffield S13 7JR, UK",home,#0F596B
,7,Denham Road,S11 8NE,5,27-Oct-20,17-Apr-25,4888,53.3705706,-1.4902477,"7 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,9,Denham Road,S11 8NE,5,23-Mar-20,23-Feb-25,4805,53.3705473,-1.4901539,"9 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,10,Denham Road,S11 8NE,5,20-Mar-20,04-Mar-25,4795,53.3703699,-1.4904612,"10 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,11,Denham Road,S11 8NE,6,22-Nov-22,21-Dec-26,6056,53.3705074,-1.4901253,"11 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#16837A
,13,Denham Road,S11 8NE,5,22-Nov-22,20-Dec-26,6047,53.37045190000001,-1.4901012,"13 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,15,Denham Road,S11 8NE,5,15-Jul-21,19-Apr-25,5385,53.3704242,-1.4900813,"15 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,16,Denham Road,S11 8NE,5,11-May-21,09-Feb-26,5263,53.3702654,-1.4903799,"16 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,17,Denham Road,S11 8NE,5,10-May-21,09-May-25,5260,53.37038440000001,-1.490053,"17 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,18,Denham Road,S11 8NE,0,09-Jan-24,01-Oct-28,6290,53.3702236,-1.4903525,"18 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0A2F51
,19,Denham Road,S11 8NE,5,01-Sep-21,25-May-25,5455,53.37037789999999,-1.4900326,"19 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,20,Denham Road,S11 8NE,5,17-Feb-23,20-Nov-27,6122,53.3701885,-1.4903372,"20 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,24,Denham Road,S11 8NE,5,15-Dec-20,10-Mar-25,4939,53.3701382,-1.4902055,"24 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,26,Denham Road,S11 8NE,5,13-May-21,09-Jun-25,5276,53.3700981,-1.49027,"26 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,36,Denham Road,S11 8NE,5,23-Sep-24,06-Jan-29,6458,53.36991,-1.4901338,"36 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
,38,Denham Road,S11 8NE,7,15-Dec-21,16-Feb-26,5612,53.3698679,-1.4901315,"38 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#1D9A6C
Rear Of,38,Denham Road,S11 8NE,6,15-Dec-21,16-Feb-26,5614,53.3698679,-1.4901315,"rear of, 38 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#16837A
,44,Denham Road,S11 8NE,5,09-Oct-23,30-Oct-28,6252,53.3697276,-1.4899345,"44 Denham Rd, Sharrow, Sheffield S11 8NE, UK",home,#0F596B
Flat 4,148,Devonshire Street,S3 7SF,6,29-Mar-24,01-Dec-28,6362,53.3796359,-1.4787953,"Flat 4, 148 Devonshire St, Sheffield City Centre, Sheffield S3 7SF, UK",home,#16837A
Flat 1,148,Devonshire Street,S3 7SF,5,29-Mar-24,01-Dec-28,6371,53.3796365,-1.4787969,"Flat 1, 148 Devonshire St, Sheffield City Centre, Sheffield S3 7SF, UK",home,#0F596B
Flat 2,148,Devonshire Street,S3 7SF,6,27-Mar-24,01-Dec-28,6361,53.3796128,-1.4785795,"2, 148 Devonshire St, Sheffield City Centre, Sheffield S3 7SF, UK",home,#16837A
Flat 3,148,Devonshire Street,S3 7SF,5,26-Mar-24,23-Dec-28,6357,53.3796128,-1.4785795,"3, 148 Devonshire St, Sheffield City Centre, Sheffield S3 7SF, UK",home,#0F596B
,40,Dover Road,S11 8RH,9,13-Jul-21,26-Jul-25,5349,53.3706155,-1.4978106,"40 Dover Rd, Broomhall, Sheffield S11 8RH, UK",home,#74C67A
,42,Dover Road,S11 8RH,9,11-Jun-21,29-Apr-25,5350,53.3706707,-1.497921,"42 Dover Rd, Broomhall, Sheffield S11 8RH, UK",home,#74C67A
,59,Duchess Road,S2 4BL,5,23-Nov-21,01-Aug-25,5555,53.3721449,-1.4649414,"59 Duchess Rd, Sheffield S2 4BL, UK",home,#0F596B
,61,Duchess Road,S2 4BL,5,22-Nov-22,15-Jul-27,6054,53.3721368,-1.464928,"61 Duchess Rd, Sheffield S2 4BL, UK",home,#0F596B
,69,Duchess Road,S2 4BL,6,10-Aug-22,31-Aug-26,5902,53.37205470000001,-1.4646007,"69 Duchess Rd, Sheffield S2 4BL, UK",home,#16837A
,77,Duchess Road,S2 4BL,5,07-Feb-23,07-Aug-27,6207,53.3720054,-1.4642496,"77 Duchess Rd, Sheffield S2 4BL, UK",home,#0F596B
,145,Duke Street,S2 5QL,14,25-May-22,31-Jul-26,5777,53.38015249999999,-1.4561383,"145 Duke St, Sheffield S2 5QN, UK",home,#DEEDCF
,27,Dun Fields,S3 8AY,5,30-Jun-22,20-May-25,5844,53.388894,-1.4754405,"27 Dun Fields, Sheffield S3 8AY, UK",home,#0F596B
,29,Dun Fields,S3 8AY,5,30-Jun-22,16-Jun-25,5845,53.3888843,-1.475406,"29 Dun Fields, Sheffield S3 8AY, UK",home,#0F596B
,31,Dun Fields,S3 8AY,5,30-Jun-22,20-May-25,5846,53.3889155,-1.4751806,"31 Dun Fields, Sheffield S3 8AY, UK",home,#0F596B
,33,Dun Fields,S3 8AY,5,16-Jun-22,20-May-25,5837,53.388945,-1.475231,"33 Dun Fields, Sheffield S3 8AY, UK",home,#0F596B
,35,Dun Fields,S3 8AY,5,16-Jun-22,20-May-25,5840,53.3889997,-1.4749862,"35 Dun Fields, Sheffield S3 8AY, UK",home,#0F596B
,26,Dun Street,S3 8SL,5,08-Sep-22,07-Sep-27,5941,53.3891174,-1.4758526,"26 Dun St, Sheffield S3, UK",home,#0F596B
,28,Dun Street,S3 8SL,5,08-Sep-22,07-Sep-27,5942,53.3891001,-1.4756138,"28 Dun St, Sheffield S3 8SL, UK",home,#0F596B
,30,Dun Street,S3 8SL,5,07-Sep-22,06-Sep-27,5931,53.3891149,-1.4755818,"30 Dun St, Sheffield S3, UK",home,#0F596B
,32,Dun Street,S3 8SL,5,12-Aug-22,11-Aug-27,5910,53.3891287,-1.4755483,"32 Dun St, Sheffield S3 8SL, UK",home,#0F596B
,34,Dun Street,S3 8SL,5,11-Aug-22,10-Aug-27,5907,53.3891295,-1.4755493,"34 Dun St, Sheffield S3, UK",home,#0F596B
,98,Duncombe Street,S6 3RJ,5,08-Apr-20,15-Mar-25,4852,53.3906111,-1.4976668,"98 Duncombe St, Sheffield S6 3RJ, UK",home,#0F596B
,1,Eastgrove Road,S10 2NN,9,31-May-22,13-Apr-25,5805,53.3722951,-1.4931292,"1 Eastgrove Rd, Broomhall, Sheffield S10 2NN, UK",home,#74C67A
,222,Ecclesall Road,S11 8JD,9,04-Oct-22,08-Apr-25,5960,53.3724105,-1.486478,"222 Ecclesall Rd, Sheffield S11 8JD, UK",home,#74C67A
,230,Ecclesall Road,S11 8JD,7,30-Nov-21,16-May-25,5575,53.3720777,-1.4866581,"230 Ecclesall Rd, Sharrow, Sheffield S11, UK",home,#1D9A6C
,232,Ecclesall Road,S11 8JD,7,12-Apr-22,21-Nov-26,5738,53.37207069999999,-1.486969,"232 Ecclesall Rd, Broomhall, Sheffield S11 8JD, UK",home,#1D9A6C
,234,Ecclesall Road,S11 8JD,8,29-Mar-21,05-Oct-25,5157,53.3722143,-1.4871749,"234 Ecclesall Rd, Broomhall, Sheffield S11 8NS, UK",home,#48B16D
,236,Ecclesall Road,S11 8JD,9,19-Oct-21,03-Oct-25,5500,53.3721493,-1.4872228,"236 Ecclesall Rd, Sharrow, Sheffield S11, UK",home,#74C67A
,238,Ecclesall Road,S11 8JD,8,30-Mar-21,17-Aug-25,5165,53.3720808,-1.487326,"238 Ecclesall Rd, Broomhall, Sheffield S11 8JD, UK",home,#48B16D
,244,Ecclesall Road,S11 8JD,7,20-Dec-22,19-Dec-27,6104,53.371951,-1.4876187,"244 Ecclesall Rd, Broomhall, Sheffield S11 8JD, UK",home,#1D9A6C
,380,Ecclesall Road,S11 8PJ,10,16-Mar-22,11-Apr-25,5721,53.3705411,-1.4917039,"380 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#ADDAA1
,384,Ecclesall Road,S11 8PJ,8,28-May-21,21-Mar-26,5321,53.3705073,-1.4919497,"384 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#48B16D
,396,Ecclesall Road,S11 8PJ,8,26-May-20,25-May-25,5745,53.3703283,-1.4923211,"396 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#48B16D
,400,Ecclesall Road,S11 8PJ,7,05-Oct-22,08-Jun-25,5965,53.3701718,-1.49282,"400 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#1D9A6C
,402,Ecclesall Road,S11 8PJ,5,19-Aug-21,10-Jun-25,5439,53.3701497,-1.4928944,"402 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#0F596B
,404,Ecclesall Road,S11 8PJ,6,08-Feb-22,16-Nov-26,5683,53.3701257,-1.4929698,"404 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#16837A
,410,Ecclesall Road,S11 8PJ,6,01-Mar-22,26-Oct-25,5717,53.3700513,-1.493179,"410 Ecclesall Rd, Broomhall, Sheffield S11 8PJ, UK",home,#16837A
,442,Ecclesall Road,S11 8PX,6,04-Nov-19,05-May-25,4523,53.3696744,-1.494188,"442 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#16837A
,446,Ecclesall Road,S11 8PX,5,22-Feb-21,28-Jan-26,5020,53.3696379,-1.4943108,"446 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#0F596B
,450,Ecclesall Road,S11 8PX,5,01-Jul-21,07-Jun-25,5363,53.3696057,-1.4943877,"450 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#0F596B
,452,Ecclesall Road,S11 8PX,6,21-Dec-22,03-Mar-25,6094,53.369573,-1.4944378,"452 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#16837A
Abbey House,484,Ecclesall Road,S11 8PX,7,09-Feb-22,16-Aug-26,5685,53.3693204,-1.4958861,"484 Ecclesall Rd, Broomhall, Sheffield S11 8PP, UK",home,#1D9A6C
,486,Ecclesall Road,S11 8PX,8,28-Aug-23,05-Jul-28,6235,53.3692876,-1.4960742,"486 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#48B16D
,488,Ecclesall Road,S11 8PX,7,22-Nov-21,06-Nov-25,5521,53.3693096,-1.4959998,"488 Ecclesall Rd, Broomhall, Sheffield S11 8PX, UK",home,#1D9A6C
,530,Ecclesall Road,S11 8PY,6,24-Nov-20,13-Apr-25,4907,53.3687785,-1.4988322,"530 Ecclesall Rd, Broomhall, Sheffield S11 8PY, UK",home,#16837A
,532,Ecclesall Road,S11 8PY,7,15-Jun-22,15-Mar-25,5838,53.3687592,-1.4989293,"532 Ecclesall Rd, Broomhall, Sheffield S11 8PY, UK",home,#1D9A6C
,536,Ecclesall Road,S11 8PY,7,18-Apr-24,13-Mar-29,6397,53.368722,-1.4991046,"536 Ecclesall Rd, Broomhall, Sheffield S11 8PY, UK",home,#1D9A6C
,701,Ecclesall Road,S11 8TG,6,27-Mar-20,26-Mar-25,4819,53.3669896,-1.5032757,"701 Ecclesall Rd, Sharrow, Sheffield S11 8TG, UK",home,#16837A
,731,Ecclesall Road,S11 8TG,5,27-Oct-21,07-Jun-25,5514,53.3666738,-1.5048829,"731 Ecclesall Rd, Sharrow, Sheffield S11 8TG, UK",home,#0F596B
,739,Ecclesall Road,S11 8TG,5,16-Sep-21,11-Apr-25,5470,53.3664078,-1.505448,"739 Ecclesall Rd, Sheffield S11 8TA, UK",home,#0F596B
,761,Ecclesall Road,S11 8TH,6,26-Oct-20,07-Mar-25,4879,53.3661389,-1.5066919,"761 Ecclesall Rd, Sheffield S11 8TH, UK",home,#16837A
,767,Ecclesall Road,S11 8TH,7,06-Feb-20,05-Feb-25,4622,53.36548149999999,-1.5075092,"767 Ecclesall Rd, Sheffield S11, UK",home,#1D9A6C
,796,Ecclesall Road,S11 8TD,5,10-Jun-22,28-Feb-27,5829,53.3651321,-1.5079476,"796 Ecclesall Rd, Sheffield S11 8TD, UK",home,#0F596B
,907,Ecclesall Road,S11 8TL,6,25-Nov-21,12-Apr-25,5563,53.3632587,-1.5079057,"907 Ecclesall Rd, Sheffield S11 8TL, UK",home,#16837A
,917,Ecclesall Road,S11 8TL,7,02-Feb-23,01-Feb-28,6101,53.3629541,-1.5079301,"St Williams Presbytery, 917 Ecclesall Rd, Sheffield S11 8TL, UK",home,#1D9A6C
,925,Ecclesall Road,S11 8TL,6,24-Aug-23,23-Jul-28,6234,53.3627427,-1.5079689,"925 Ecclesall Rd, Sheffield S11 8TL, UK",home,#16837A
"Flats 1 To 14, The Old Bank     ",03-Jan,Ecclesall Road,S11 8HW,14,21-Jun-23,25-Jun-28,6199,53.3730335,-1.4825387,"Ecclesall Rd, Sheffield S11 8HW, UK",home,#DEEDCF
,273a,Ecclesall Road,S11 8NX,5,04-Nov-21,18-Sep-25,5527,53.3715833,-1.4878032,"273A Ecclesall Rd, Sharrow, Sheffield S11 8NX, UK",home,#0F596B
,288a,Ecclesall Road,S11 8PE,6,19-Feb-20,09-Feb-25,4675,53.3713663,-1.4893021,"288 Ecclesall Rd, Broomhall, Sheffield S11 8PE, UK",home,#16837A
,294a,Ecclesall Road,S11 8PE,6,18-Jul-23,19-Jun-28,6216,53.3713237,-1.489474,"294 Ecclesall Rd, Broomhall, Sheffield S11 8PE, UK",home,#16837A
,296a,Ecclesall Road,S11 8PE,6,17-May-22,19-Jun-25,5757,53.3712922,-1.4894588,"296A Ecclesall Rd, Broomhall, Sheffield S11 8PE, UK",home,#16837A
,309a,Ecclesall Road,S11 8NX,5,23-Mar-20,23-Feb-25,4803,53.3712206,-1.4889309,"309a Ecclesall Rd, Sharrow, Sheffield S11 8NX, UK",home,#0F596B
,311a,Ecclesall Road,S11 8NX,6,28-Feb-20,23-Feb-25,4725,53.3711856,-1.4890961,"311A Ecclesall Rd, Sharrow, Sheffield S11 8NX, UK",home,#16837A
,533a,Ecclesall Road,S11 8PR,5,07-Sep-22,26-Nov-26,5940,53.3687705,-1.4969535,"533 Ecclesall Rd, Sharrow, Sheffield S11 8PR, UK",home,#0F596B
,535a,Ecclesall Road,S11 8PR,5,28-Sep-21,19-May-25,5474,53.3688185,-1.4970183,"535A Ecclesall Rd, Sharrow, Sheffield S11 8PR, UK",home,#0F596B
,544a,Ecclesall Road,S11 8QA,5,13-Feb-24,12-Feb-29,6453,53.3685346,-1.4996458,"544 Ecclesall Rd, Broomhall, Sheffield S11 8QA, UK",home,#0F596B
,149,Edmund Road,S2 4EG,6,14-Mar-24,27-Nov-28,6342,53.37036370000001,-1.4669329,"149 Edmund Rd, Highfield, Sheffield S2 4EG, UK",home,#16837A
,182,Edmund Road,S2 4EH,5,22-Nov-22,16-Jun-27,6053,53.3701595,-1.4673962,"182 Edmund Rd, Highfield, Sheffield S2, UK",home,#0F596B
,198,Edmund Road,S2 4EH,5,01-Jun-22,04-Feb-27,5803,53.3698738,-1.4674755,"198 Edmund Rd, Highfield, Sheffield S2 4EH, UK",home,#0F596B
,210,Edmund Road,S2 4EH,5,08-Jun-23,03-Feb-28,6186,53.36976379999999,-1.4674767,"210 Edmund Rd, Highfield, Sheffield S2, UK",home,#0F596B
,212,Edmund Road,S2 4EH,6,04-May-23,04-Oct-27,6177,53.3695885,-1.4675232,"212 Edmund Rd, Highfield, Sheffield S2 4EH, UK",home,#16837A
,216,Edmund Road,S2 4EH,5,14-Mar-23,21-Oct-27,6143,53.3695143,-1.4675571,"216 Edmund Rd, Highfield, Sheffield S2 4EH, UK",home,#0F596B
,225,Edmund Road,S2 4EL,5,17-Mar-23,17-Mar-28,6151,53.3685161,-1.4673243,"225 Edmund Rd, Highfield, Sheffield S2 4EL, UK",home,#0F596B
,227,Edmund Road,S2 4EL,5,16-Mar-23,15-Mar-28,6145,53.3684289,-1.4673426,"227 Edmund Rd, Highfield, Sheffield S2 4EL, UK",home,#0F596B
,229,Edmund Road,S2 4EL,5,17-Mar-23,16-Mar-28,6148,53.3686559,-1.4673309,"229 Edmund Rd, Highfield, Sheffield S2 4EL, UK",home,#0F596B
,232,Edmund Road,S2 4EH,5,11-Mar-21,26-May-25,5111,53.3691573,-1.4675991,"232 Edmund Rd, Highfield, Sheffield S2, UK",home,#0F596B
,234,Edmund Road,S2 4EH,5,28-Jul-21,14-Mar-25,5404,53.3691179,-1.4675828,"234 Edmund Rd, Highfield, Sheffield S2 4EH, UK",home,#0F596B
,236,Edmund Road,S2 4EH,5,28-Jul-21,15-Mar-25,5405,53.3690779,-1.4675919,"236 Edmund Rd, Highfield, Sheffield S2 4EH, UK",home,#0F596B
,248,Edmund Road,S2 4EN,5,06-Sep-21,24-Mar-26,5461,53.36875810000001,-1.4676569,"248 Edmund Rd, Highfield, Sheffield S2 4EN, UK",home,#0F596B
,280,Edmund Road,S2 4EN,8,09-Sep-21,13-Dec-25,5465,53.3680803,-1.4678606,"280 Edmund Rd, Highfield, Sheffield S2 4EN, UK",home,#48B16D
,290,Edmund Road,S2 4EN,5,02-Dec-21,10-Feb-26,5585,53.3678845,-1.4678367,"290 Edmund Rd, Highfield, Sheffield S2 4EN, UK",home,#0F596B
Solly B,59,Edward Street,S3 7BY,5,13-Sep-23,15-Jul-26,5381,53.3841766,-1.4798768,"Huntsman House, 59 Edward St, Sheffield S3 7BY, UK",home,#0F596B
